country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,56384,2476.0,50666.0,3242.0,1108.0,1425,63.0,344165.0,8697.0,39573734
Albania,Europe,124419,2216.0,90024.0,32179.0,46.0,43269,771.0,548801.0,190857.0,2875460
Algeria,Africa,116946,3084.0,81349.0,32513.0,20.0,2632,69.0,230861.0,5195.0,44435162
Andorra,Europe,11888,115.0,11244.0,529.0,12.0,153677,1487.0,193595.0,2502618.0,77357
Angola,Africa,22132,534.0,20380.0,1218.0,14.0,658,16.0,415664.0,12365.0,33615820
Anguilla,North America,22,,20.0,2.0,,1457,,11052.0,731824.0,15102
Antigua And Barbuda,North America,1136,28.0,820.0,288.0,45.0,11529,284.0,16493.0,167391.0,98530
Argentina,South America,2322611,55611.0,2088256.0,178744.0,3639.0,51043,1222.0,8745746.0,192202.0,45502911
Armenia,Asia,190741,3476.0,172096.0,15169.0,,64280,1171.0,842817.0,284030.0,2967357
Aruba,North America,9294,82.0,8608.0,604.0,8.0,86777,766.0,124587.0,1163256.0,107102
Australia,Australia/Oceania,29293,909.0,26277.0,2107.0,,1139,35.0,15518339.0,603386.0,25718769
Austria,Europe,539541,9275.0,494377.0,35889.0,534.0,59654,1025.0,22610260.0,2499888.0,9044509
Azerbaijan,Asia,257330,3513.0,236500.0,17317.0,,25211,344.0,2844674.0,278702.0,10206862
Bahamas,North America,9000,188.0,7841.0,971.0,3.0,22726,475.0,74708.0,188644.0,396026
Bahrain,Asia,142669,515.0,133753.0,8401.0,59.0,81765,295.0,3547638.0,2033191.0,1744862
Bangladesh,Asia,600895,8949.0,537718.0,54228.0,,3622,54.0,4617025.0,27829.0,165904085
Barbados,North America,3634,41.0,3444.0,149.0,,12634,143.0,140015.0,486778.0,287636
Belarus,Europe,319599,2227.0,310189.0,7183.0,,33831,236.0,5341101.0,565375.0,9447012
Belgium,Europe,872936,22921.0,56720.0,793295.0,711.0,75078,1971.0,11026592.0,948357.0,11627050
Belize,North America,12415,317.0,12061.0,37.0,1.0,30810,787.0,96854.0,240361.0,402953
Benin,Africa,7100,90.0,6452.0,558.0,35.0,575,7.0,548484.0,44388.0,12356551
Bermuda,North America,1136,12.0,728.0,396.0,1.0,18291,193.0,196952.0,3171172.0,62107
Bhutan,Asia,872,1.0,867.0,4.0,,1121,1.0,586497.0,753954.0,777895
Bolivia,South America,270347,12211.0,219389.0,38747.0,71.0,22929,1036.0,891927.0,75647.0,11790715
Bosnia And Herzegovina,Europe,165787,6427.0,128980.0,30380.0,,50767,1968.0,780081.0,238877.0,3265617
Botswana,Africa,39848,568.0,36958.0,2322.0,1.0,16696,238.0,926189.0,388076.0,2386619
Brazil,South America,12577354,314268.0,10969247.0,1293839.0,8318.0,58861,1471.0,28600000.0,133845.0,213679362
British Virgin Islands,North America,153,1.0,131.0,21.0,,5036,33.0,13223.0,435253.0,30380
Brunei Darussalam,Asia,207,3.0,191.0,13.0,,470,7.0,113535.0,257694.0,440581
Bulgaria,Europe,333250,12913.0,252473.0,67864.0,752.0,48231,1869.0,2078028.0,300751.0,6909462
Burkina Faso,Africa,12702,145.0,12375.0,182.0,,596,7.0,,,21324247
Burundi,Africa,2757,6.0,773.0,1978.0,,227,,90019.0,7409.0,12150589
Cabo Verde,Africa,17190,165.0,16160.0,865.0,23.0,30671,294.0,127143.0,226856.0,560456
Cambodia,Asia,2378,11.0,1176.0,1191.0,,141,,668542.0,39582.0,16889975
Cameroon,Africa,47669,721.0,35261.0,11687.0,53.0,1763,27.0,905000.0,33479.0,27031758
Canada,North America,971718,22900.0,903607.0,45211.0,661.0,25580,603.0,27466380.0,723042.0,37987265
Caribbean Netherlands,North America,1300,10.0,885.0,405.0,,49235,379.0,9003.0,340971.0,26404
Cayman Islands,North America,499,2.0,462.0,35.0,,7527,30.0,82055.0,1237763.0,66293
Central African Republic,Africa,5088,64.0,4957.0,67.0,2.0,1040,13.0,38422.0,7854.0,4891731
Chad,Africa,4510,164.0,4110.0,236.0,,269,10.0,,,16771827
Channel Islands,Europe,4046,86.0,3956.0,4.0,1.0,23113,491.0,399901.0,2284496.0,175050
Chile,South America,984484,23070.0,918446.0,42968.0,2590.0,51175,1199.0,11121171.0,578091.0,19237754
China Hong Kong Sar,Asia,11455,205.0,11040.0,210.0,10.0,1519,27.0,9296529.0,1232627.0,7542045
China Macao Sar,Asia,48,,48.0,0.0,,73,,4369.0,6661.0,655878
China,Asia,90190,4636.0,85381.0,173.0,1.0,63,3.0,160000000.0,111163.0,1439323776
Colombia,South America,2389779,63079.0,2273909.0,52791.0,1982.0,46599,1230.0,12629769.0,246270.0,51284283
Comoros,Africa,3696,146.0,3525.0,25.0,,4185,165.0,,,883245
Congo,Africa,9681,135.0,8208.0,1338.0,,1723,24.0,92500.0,16465.0,5617974
Costa Rica,North America,215178,2931.0,191707.0,20540.0,155.0,41957,572.0,792044.0,154438.0,5128568
Cote D Ivoire,Africa,43422,239.0,39295.0,3888.0,,1617,9.0,513010.0,19100.0,26858620
Croatia,Europe,267522,5911.0,252321.0,9290.0,126.0,65466,1447.0,1530168.0,374453.0,4086408
Cuba,North America,73204,417.0,69204.0,3583.0,71.0,6466,37.0,2943431.0,259987.0,11321476
Curacao,North America,7740,33.0,5159.0,2548.0,22.0,47026,200.0,68575.0,416639.0,164591
Cyprus,Asia,44991,254.0,2057.0,42680.0,49.0,37064,209.0,3211530.0,2645689.0,1213873
Czech Republic,Europe,1516772,26036.0,1342113.0,148623.0,1727.0,141441,2428.0,12028967.0,1121714.0,10723738
Democratic Republic Of The Congo,Africa,28012,739.0,25398.0,1875.0,,306,8.0,,,91558337
Denmark,Europe,228692,2415.0,217071.0,9206.0,41.0,39380,416.0,24781769.0,4267317.0,5807342
Djibouti,Africa,7610,68.0,6325.0,1217.0,,7621,68.0,128268.0,128446.0,998615
Dominica,North America,161,,153.0,8.0,,2232,,13201.0,183045.0,72119
Dominican Republic,North America,252182,3307.0,211409.0,37466.0,160.0,23076,303.0,1303504.0,119276.0,10928443
Ecuador,South America,325124,16746.0,281684.0,26694.0,570.0,18223,939.0,1134885.0,63611.0,17840941
Egypt,Africa,200739,11914.0,153630.0,35195.0,90.0,1935,115.0,2506788.0,24160.0,103757682
El Salvador,North America,64431,2006.0,61640.0,785.0,30.0,9897,308.0,839408.0,128932.0,6510483
Equatorial Guinea,Africa,6914,102.0,6495.0,317.0,14.0,4812,71.0,110205.0,76704.0,1436750
Eritrea,Africa,3251,9.0,2993.0,249.0,,907,3.0,23693.0,6613.0,3582697
Estonia,Europe,104214,879.0,77867.0,25468.0,69.0,78522,662.0,1132206.0,853080.0,1327198
Ethiopia,Africa,202545,2825.0,155190.0,44530.0,795.0,1730,24.0,2340575.0,19995.0,117057673
Faeroe Islands,Europe,661,1.0,660.0,0.0,,13490,20.0,240862.0,4915451.0,49001
Falkland Islands Malvinas,South America,54,,54.0,0.0,,15194,,7125.0,2004783.0,3554
Fiji,Australia/Oceania,67,2.0,64.0,1.0,,74,2.0,36597.0,40606.0,901260
Finland,Europe,76425,822.0,46000.0,29603.0,54.0,13777,148.0,3901452.0,703330.0,5547114
France,Europe,4554683,94956.0,290810.0,4168917.0,4974.0,69664,1452.0,63656437.0,973626.0,65380777
French Guiana,South America,16922,89.0,9995.0,6838.0,6.0,55596,292.0,158139.0,519558.0,304372
French Polynesia,Australia/Oceania,18612,141.0,4842.0,13629.0,2.0,65974,500.0,26355.0,93420.0,282112
Gabon,Africa,19140,114.0,16311.0,2715.0,19.0,8453,50.0,628405.0,277518.0,2264376
Gambia,Africa,5420,164.0,5050.0,206.0,3.0,2197,66.0,54708.0,22180.0,2466516
Georgia,Asia,280472,3765.0,272601.0,4106.0,,70409,945.0,3327100.0,835226.0,3983472
Germany,Europe,2796400,76599.0,2507900.0,211901.0,3573.0,33297,912.0,48979281.0,583206.0,83982825
Ghana,Africa,90287,740.0,87137.0,2410.0,40.0,2862,23.0,986349.0,31262.0,31550784
Gibraltar,Europe,4273,94.0,4167.0,12.0,1.0,126855,2791.0,211131.0,6267991.0,33684
Greece,Europe,255755,7945.0,219367.0,28443.0,738.0,24627,765.0,6413832.0,617597.0,10385145
Greenland,North America,31,,31.0,0.0,,545,,20669.0,363616.0,56843
